   Sr.               X               Y             X^2             Y^2             X*Y
     1          0.4140           29186         0.17140       851822596       12083.004
     2          0.3830           29266         0.14669       856498756       11208.878
     3          0.3990           26215         0.15920       687226225       10459.785
     4          0.4020           30162         0.16160       909746244       12125.124
     5          0.4420           38867         0.19536      1510643689       17179.214
     6          0.4220           37831         0.17808      1431184561       15964.682
     7          0.4660           44576         0.21716      1987019776       20772.416
     8          0.5000           46097         0.25000      2124933409       23048.500
     9          0.5140           59698         0.26420      3563851204       30684.772
    10          0.5300           67705         0.28090      4583967025       35883.650
    11          0.5690           66088         0.32376      4367623744       37604.072
    12          0.5580           78486         0.31136      6160052196       43795.188
    13          0.5770           89869         0.33293      8076437161       51854.413
    14          0.5720           77369         0.32718      5985962161       44255.068
    15          0.5480           67095         0.30030      4501739025       36768.060
    16          0.5810           85156         0.33756      7251544336       49475.636
    17          0.5570           69571         0.31025      4840124041       38751.047
    18          0.5500           84160         0.30250      7082905600       46288.000
    19          0.5310           73466         0.28196      5397253156       39010.446
    20          0.5500           78610         0.30250      6179532100       43235.500
    21          0.5560           67657         0.30914      4577469649       37617.292
    22          0.5230           74017         0.27353      5478516289       38710.891
    23          0.6020           87291         0.36240      7619718681       52549.182
    24          0.5690           86836         0.32376      7540490896       49409.684
    25          0.5440           82540         0.29594      6812851600       44901.760
    26          0.5570           81699         0.31025      6674726601       45506.343
    27          0.5300           82096         0.28090      6739753216       43510.880
    28          0.5470           75657         0.29921      5723981649       41384.379
    29          0.5850           80490         0.34222      6478640100       47086.650
